State Diffs
80
64
56
56
64
56
64
56
56
64
56
64
56
56
56
56
64
56
56
64
64
56
64
64
64
64
56
64
56
56
64
56
64
64
56
56
56
64
56
64
64
64
56
56
64
56
56
56
64
56
64
64
56
64
56
64
56
56
56
56
64
56
64
64
64
56
64
64
56
56
64
56
64
64
56
56
64
64
64
64
64
64
56
56
56
64
56
64
56
56
56
56
56
56
64
64
64
64
64
56
